subject_id	subject_label	object_id	object_label	comment_leonmap	comment_gilda	confidence_leonmap	confidence_gilda	mapping_justification_leonmap	mapping_justification_gilda	predicate_id_leonmap	predicate_id_gilda
icd10:H35.1	Retinopathy of prematurity	mesh:D012178	Retinopathy of Prematurity	cosine=0.907761		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:M77.4	Metatarsalgia	mesh:D037061	Metatarsalgia	cosine=0.907061		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:K14.0	Glossitis	mesh:D005928	Glossitis	cosine=0.905292		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:N94.1	Dyspareunia	mesh:D004414	Dyspareunia	cosine=0.905023		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:I89.1	Lymphangitis	mesh:D008205	Lymphangitis	cosine=0.904745		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:L85.0	Acquired ichthyosis	mesh:C538175	Acquired ichthyosis	cosine=0.904505		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:T60.4	Rodenticides	mesh:D012378	Rodenticides	cosine=0.904474		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:G44.2	Tension-type headache	mesh:D018781	Tension-Type Headache	cosine=0.904456		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:L29.0	Pruritus ani	mesh:D011538	Pruritus Ani	cosine=0.903979		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:R63.0	Anorexia	mesh:D000855	Anorexia	cosine=0.902083		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:E06.3	Autoimmune thyroiditis	mesh:D013967	Thyroiditis, Autoimmune	cosine=0.901619		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:T53.1	Chloroform	mesh:D002725	Chloroform	cosine=0.900863		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
