subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source_version	object_source_version	mapping_tool	mapping_tool_id	mapping_tool_version	mapping_date	confidence
icd10:D48.7	Other specified sites	skos:exactMatch	mesh:D006321	Heart	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D50.1	Sideropenic dysphagia	skos:exactMatch	mesh:D011004	Plummer-Vinson Syndrome	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D55.0	Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency	skos:exactMatch	mesh:D005236	Favism	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D61.0	Constitutional aplastic anaemia	skos:exactMatch	mesh:D029503	Anemia, Diamond-Blackfan	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D67	Hereditary factor IX deficiency	skos:exactMatch	mesh:D002836	Hemophilia B	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D68.2	Hereditary deficiency of other clotting factors	skos:exactMatch	mesh:D005166	Factor V Deficiency	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D68.6	Other thrombophilia	skos:exactMatch	mesh:D016736	Antiphospholipid Syndrome	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D69.1	Qualitative platelet defects	skos:exactMatch	mesh:D055652	Gray Platelet Syndrome	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D72.8	Other specified disorders of white blood cells	skos:exactMatch	mesh:D007964	Leukocytosis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D76.3	Other histiocytosis syndromes	skos:exactMatch	mesh:D015618	Histiocytosis, Sinus	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:D82.1	Di George syndrome	skos:exactMatch	mesh:D004062	DiGeorge Syndrome	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
